"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	21347	301231207	7.1
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	21753	304093966	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	21981	306771529	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	21904	309327143	7.1
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	22026	311583481	7.1
	"Brain and Other Nervous System"	"31010-31040"	"2012"	"2012"	22328	313877662	7.1
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	22758	316059947	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2014"	"2014"	22808	318386329	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2015"	"2015"	23075	320738994	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2016"	"2016"	23287	323071755	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	23579	325122128	7.3
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	23380	326838199	7.2
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	23333	328329953	7.1
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	22188	319590911	6.9
	"Breast"	"26000"	"2007"	"2007"	212564	301231207	70.6
	"Breast"	"26000"	"2008"	"2008"	218323	304093966	71.8
	"Breast"	"26000"	"2009"	"2009"	224067	306771529	73.0
	"Breast"	"26000"	"2010"	"2010"	221106	309327143	71.5
	"Breast"	"26000"	"2011"	"2011"	229253	311583481	73.6
	"Breast"	"26000"	"2012"	"2012"	232924	313877662	74.2
	"Breast"	"26000"	"2013"	"2013"	239758	316059947	75.9
	"Breast"	"26000"	"2014"	"2014"	244152	318386329	76.7
	"Breast"	"26000"	"2015"	"2015"	250417	320738994	78.1
	"Breast"	"26000"	"2016"	"2016"	252737	323071755	78.2
	"Breast"	"26000"	"2017"	"2017"	257799	325122128	79.3
	"Breast"	"26000"	"2018"	"2018"	263715	326838199	80.7
	"Breast"	"26000"	"2019"	"2019"	272786	328329953	83.1
	"Breast"	"26000"	"2020"	"2020"	241712	319590911	75.6
	"Cervix Uteri"	"27010"	"2007"	"2007"	12715	153166353	8.3
	"Cervix Uteri"	"27010"	"2008"	"2008"	12756	154604015	8.3
	"Cervix Uteri"	"27010"	"2009"	"2009"	12914	155964075	8.3
	"Cervix Uteri"	"27010"	"2010"	"2010"	12540	157249665	8.0
	"Cervix Uteri"	"27010"	"2011"	"2011"	12480	158370501	7.9
	"Cervix Uteri"	"27010"	"2012"	"2012"	12449	159480635	7.8
	"Cervix Uteri"	"27010"	"2013"	"2013"	12321	160545893	7.7
	"Cervix Uteri"	"27010"	"2014"	"2014"	12864	161690519	8.0
	"Cervix Uteri"	"27010"	"2015"	"2015"	13165	162832151	8.1
	"Cervix Uteri"	"27010"	"2016"	"2016"	13346	163986062	8.1
	"Cervix Uteri"	"27010"	"2017"	"2017"	13177	165008683	8.0
